TARGETS|upregulated,TARGETS|downregulated,TARGETS|up|down
AT1G01190,AT1G01180,AT2G27120
AT1G05000,AT1G03760,AT2G35710
AT1G05170,AT1G04800,AT3G51330
AT1G06650,AT1G06420,AT3G62830
AT1G08430,AT1G09780,AT4G10550
AT1G08840,AT1G10300,AT5G66480
AT1G08910,AT1G11080,
AT1G09170,AT1G11670,
AT1G09310,AT1G12110,
AT1G13480,AT1G13930,
AT1G14870,AT1G15380,
AT1G15830,AT1G15580,
AT1G18100,AT1G16800,
AT1G18382,AT1G19220,
AT1G20030,AT1G21310,
AT1G21010,AT1G22500,
AT1G23090,AT1G26150,
AT1G23380,AT1G29320,
AT1G24150,AT1G33120,
AT1G27200,AT1G52980,
AT1G27720,AT1G57770,
AT1G28250,AT1G59760,
AT1G29330,AT1G60970,
AT1G30570,AT1G62130,
AT1G31120,AT1G62710,
AT1G35670,AT1G63100,
AT1G44180,AT1G63810,
AT1G44446,AT1G64790,
AT1G51330,AT1G70410,
AT1G60610,AT1G72320,
AT1G61560,AT1G74090,
AT1G62422,AT1G75310,
AT1G64210,AT1G77760,
AT1G64970,AT2G05580,
AT1G66180,AT2G15130,
AT1G68660,AT2G15620,
AT1G70460,AT2G26410,
AT1G72490,AT2G28780,
AT1G73580,AT2G30080,
AT1G73620,AT2G30960,
AT1G73655,AT2G30990,
AT1G75390,AT2G31740,
AT1G75440,AT2G33340,
AT1G75810,AT2G34780,
AT1G77450,AT2G36420,
AT2G16720,AT2G37230,
AT2G17220,AT2G41820,
AT2G17500,AT2G46390,
AT2G18196,AT2G48030,
AT2G18480,AT3G01810,
AT2G18690,AT3G02610,
AT2G20180,AT3G08040,
AT2G22090,AT3G10520,
AT2G23150,AT3G12340,
AT2G26695,AT3G16840,
AT2G26830,AT3G20830,
AT2G27830,AT3G23410,
AT2G28110,AT3G23430,
AT2G30770,AT3G24000,
AT2G34490,AT3G25790,
AT2G34500,AT3G27150,
AT2G35910,AT3G47210,
AT2G37330,AT3G49940,
AT2G37570,AT3G50370,
AT2G37970,AT3G51340,
AT2G38050,AT3G52300,
AT2G39380,AT3G52370,
AT2G41380,AT3G52500,
AT2G41970,AT4G01100,
AT2G42950,AT4G02400,
AT2G43500,AT4G13780,
AT2G43590,AT4G18250,
AT2G46100,AT4G18340,
AT2G46600,AT4G21070,
AT3G03520,AT4G25315,
AT3G05880,AT4G27180,
AT3G08590,AT4G27850,
AT3G10080,AT4G30120,
AT3G15500,AT4G32420,
AT3G16150,AT4G33640,
AT3G16910,AT4G34700,
AT3G17210,AT4G37970,
AT3G19100,AT5G02140,
AT3G19970,AT5G04140,
AT3G21690,AT5G05170,
AT3G22200,AT5G05250,
AT3G22240,AT5G05580,
AT3G25250,AT5G07150,
AT3G26440,AT5G09870,
AT3G28345,AT5G12860,
AT3G28540,AT5G13400,
AT3G43230,AT5G14520,
AT3G43670,AT5G14920,
AT3G47470,AT5G15130,
AT3G47800,AT5G16780,
AT3G49120,AT5G17890,
AT3G49160,AT5G21160,
AT3G49590,AT5G37450,
AT3G51895,AT5G37590,
AT3G52720,AT5G43310,
AT3G54520,AT5G45140,
AT3G59760,AT5G45220,
AT3G62270,AT5G50140,
AT4G02880,AT5G50310,
AT4G11470,AT5G52570,
AT4G13420,AT5G57990,
AT4G15100,AT5G58620,
AT4G16760,AT5G58900,
AT4G21650,AT5G61150,
AT4G23470,AT5G64740,
AT4G25410,AT5G65470,
AT4G27460,AT5G67420,
AT4G29950,AT5G67470,
AT4G30280,,
AT4G31450,,
AT4G31500,,
AT4G33740,,
AT4G33985,,
AT4G36880,,
AT4G37240,,
AT4G37290,,
AT4G37770,,
AT4G37870,,
AT4G38470,,
AT4G39770,,
AT4G40080,,
AT5G01720,,
AT5G02480,,
AT5G02550,,
AT5G03545,,
AT5G06330,,
AT5G06860,,
AT5G07440,,
AT5G07570,,
AT5G07572,,
AT5G07870,,
AT5G11090,,
AT5G11670,,
AT5G12930,,
AT5G17330,,
AT5G17860,,
AT5G18170,,
AT5G19940,,
AT5G20230,,
AT5G22890,,
AT5G24570,,
AT5G25280,,
AT5G25460,,
AT5G27280,,
AT5G27320,,
AT5G36970,,
AT5G37740,,
AT5G38200,,
AT5G38710,,
AT5G38910,,
AT5G44700,,
AT5G47560,,
AT5G50760,,
AT5G52120,,
AT5G52390,,
AT5G52880,,
AT5G53590,,
AT5G53990,,
AT5G57350,,
AT5G57560,,
AT5G57610,,
AT5G58350,,
AT5G59730,,
AT5G61810,,
AT5G64220,,
AT5G64260,,
AT5G65660,,
AT5G66650,,
AT5G67060,,
AT5G67180,,
